dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
4,0.5,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.55,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.55,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.55,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.6,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.6,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.6,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.65,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.65,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.65,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.7,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.7,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.7,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.75,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.75,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.75,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.8,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.8,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.8,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.85,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.85,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.85,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.9,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.9,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.9,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,75,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,75,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,75,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
5,0,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0,3,73.653,0.081899,68.273,0.02167,70.659,0,69.88,-0.048442
5,0.01,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0.01,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.01,3,73.653,0.081899,68.273,0.02167,70.659,0,69.88,-0.048442
5,0.05,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0.05,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.05,3,73.653,0.081899,68.273,0.02167,72.854,0.037455,69.076,-0.0078856
5,0.1,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0.1,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.1,3,73.653,0.081899,68.273,0.02167,73.653,0.081899,68.273,0.02167
5,0.15,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0.15,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.15,3,73.653,0.081899,68.273,0.02167,73.653,0.081899,68.273,0.02167
5,0.2,1,70.06,0.23839,69.478,0.13847,70.06,0,70.281,5.55E-16
5,0.2,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.2,3,73.653,0.081899,68.273,0.02167,73.653,0.081899,68.273,0.02167
5,0.25,1,70.06,0.23839,69.478,0.13847,70.06,0.23839,69.478,0.13847
5,0.25,2,70.659,-0.0074074,71.084,0.016803,70.659,-0.0074074,71.084,0.016803
5,0.25,3,73.653,0.081899,68.273,0.02167,73.653,0.081899,68.273,0.02167
